date,lstm_forecast,xgb_forecast,ensemble_forecast,day_of_week,month,year
2024-10-26,22280.902297582626,22253.700753934383,22267.301525758507,Saturday,October,2024
2024-10-27,22290.619620137215,22251.80321170807,22271.21141592264,Sunday,October,2024
2024-10-28,22299.380435168743,22253.700753934383,22276.540594551563,Monday,October,2024
2024-10-29,22308.25967929363,22253.700753934383,22280.980216614007,Tuesday,October,2024
2024-10-30,22316.906243546007,22253.700753934383,22285.303498740195,Wednesday,October,2024
2024-10-31,22325.478903865813,22253.700753934383,22289.589828900098,Thursday,October,2024
2024-11-01,22333.95141521692,22253.700753934383,22293.826084575652,Friday,November,2024
2024-11-02,22342.362622864246,22253.700753934383,22298.031688399315,Saturday,November,2024
2024-11-03,22350.727020335198,22253.700753934383,22302.213887134792,Sunday,November,2024
2024-11-04,22359.06693549633,22253.700753934383,22306.383844715354,Monday,November,2024
2024-11-05,22367.401431906223,22253.700753934383,22310.5510929203,Tuesday,November,2024
2024-11-06,22375.750617702008,22253.700753934383,22314.725685818194,Wednesday,November,2024
2024-11-07,22384.13394815922,22253.700753934383,22318.917351046803,Thursday,November,2024
2024-11-08,22392.571661987302,22253.700753934383,22323.136207960844,Friday,November,2024
2024-11-09,22401.084324326515,22253.700753934383,22327.39253913045,Saturday,November,2024
2024-11-10,22409.69295732021,22253.700753934383,22331.6968556273,Sunday,November,2024
2024-11-11,22418.419431831837,22253.700753934383,22336.06009288311,Monday,November,2024
2024-11-12,22427.255195374488,22253.700753934383,22340.477974654437,Tuesday,November,2024
2024-11-13,22436.203055253027,22253.700753934383,22344.951904593705,Wednesday,November,2024
2024-11-14,22445.294218251704,22253.700753934383,22349.497486093045,Thursday,November,2024
2024-11-15,22454.551860957145,22253.700753934383,22354.126307445764,Friday,November,2024
2024-11-16,22463.634079751966,22253.700753934383,22358.667416843175,Saturday,November,2024
2024-11-17,22472.61379927635,22253.700753934383,22363.157276605365,Sunday,November,2024
2024-11-18,22481.492716970442,22253.700753934383,22367.59673545241,Monday,November,2024
2024-11-19,22490.301647901535,22253.700753934383,22372.00120091796,Tuesday,November,2024
2024-11-20,22499.05737061262,22253.700753934383,22376.379062273503,Wednesday,November,2024
2024-11-21,22507.782278256414,22253.700753934383,22380.741516095397,Thursday,November,2024
2024-11-22,22516.256160616875,22253.700753934383,22384.97845727563,Friday,November,2024
2024-11-23,22524.442653303144,22253.700753934383,22389.071703618763,Saturday,November,2024
2024-11-24,22532.39855527401,22253.700753934383,22393.049654604198,Sunday,November,2024
